Producto id: 0, precio: 40.0 euros,  tipo de producto: Arbol, altura: 1.11

Producto id: 1, precio: 45.0 euros,  tipo de producto: Arbol, altura: 1.29

Producto id: 2, precio: 49.0 euros,  tipo de producto: Arbol, altura: 1.34

Producto id: 3, precio: 12.0 euros,  tipo de producto: Flor, color: rosa

Producto id: 4, precio: 18.97 euros,  tipo de producto: Flor, color: rojo

Producto id: 5, precio: 1.99 euros,  tipo de producto: Flor, color: naranja

Producto id: 6, precio: 13.0 euros,  tipo de producto: Decoracion, material: plastico

Producto id: 7, precio: 56.78 euros,  tipo de producto: Decoracion, material: madera

Producto id: 8, precio: 2.99 euros,  tipo de producto: Decoracion, material: plastico

Producto id: 9, precio: 2.0 euros,  tipo de producto: Arbol, altura: 2.0

